,id_assessment,assessment_type,date,weight,code_mod_pres
0,1752,TMA,19.0,10.0,AAA2013J
1,1753,TMA,54.0,20.0,AAA2013J
2,1754,TMA,117.0,20.0,AAA2013J
3,1755,TMA,166.0,20.0,AAA2013J
4,1756,TMA,215.0,30.0,AAA2013J
5,1757,Exam,,100.0,AAA2013J
6,1758,TMA,19.0,10.0,AAA2014J
7,1759,TMA,54.0,20.0,AAA2014J
8,1760,TMA,117.0,20.0,AAA2014J
9,1761,TMA,166.0,20.0,AAA2014J
10,1762,TMA,215.0,30.0,AAA2014J
11,1763,Exam,,100.0,AAA2014J
12,14991,CMA,54.0,1.0,BBB2013B
13,14992,CMA,89.0,1.0,BBB2013B
14,14993,CMA,124.0,1.0,BBB2013B
15,14994,CMA,159.0,1.0,BBB2013B
16,14995,CMA,187.0,1.0,BBB2013B
17,14984,TMA,19.0,5.0,BBB2013B
18,14985,TMA,47.0,18.0,BBB2013B
19,14986,TMA,89.0,18.0,BBB2013B
20,14987,TMA,124.0,18.0,BBB2013B
21,14988,TMA,159.0,18.0,BBB2013B
22,14989,TMA,187.0,18.0,BBB2013B
23,14990,Exam,,100.0,BBB2013B
24,15003,CMA,54.0,1.0,BBB2013J
25,15004,CMA,96.0,1.0,BBB2013J
26,15005,CMA,131.0,1.0,BBB2013J
27,15006,CMA,166.0,1.0,BBB2013J
28,15007,CMA,208.0,1.0,BBB2013J
29,14996,TMA,19.0,5.0,BBB2013J
30,14997,TMA,47.0,18.0,BBB2013J
31,14998,TMA,96.0,18.0,BBB2013J
32,14999,TMA,131.0,18.0,BBB2013J
33,15000,TMA,166.0,18.0,BBB2013J
34,15001,TMA,208.0,18.0,BBB2013J
35,15002,Exam,,100.0,BBB2013J
36,15015,CMA,47.0,1.0,BBB2014B
37,15016,CMA,82.0,1.0,BBB2014B
38,15017,CMA,117.0,1.0,BBB2014B
39,15018,CMA,152.0,1.0,BBB2014B
40,15019,CMA,194.0,1.0,BBB2014B
41,15008,TMA,12.0,5.0,BBB2014B
42,15009,TMA,40.0,18.0,BBB2014B
43,15010,TMA,82.0,18.0,BBB2014B
44,15011,TMA,117.0,18.0,BBB2014B
45,15012,TMA,152.0,18.0,BBB2014B
46,15013,TMA,194.0,18.0,BBB2014B
47,15014,Exam,,100.0,BBB2014B
48,15020,TMA,19.0,0.0,BBB2014J
49,15021,TMA,54.0,10.0,BBB2014J
50,15022,TMA,110.0,20.0,BBB2014J
51,15023,TMA,152.0,35.0,BBB2014J
52,15024,TMA,201.0,35.0,BBB2014J
53,15025,Exam,,100.0,BBB2014J
54,24286,CMA,18.0,2.0,CCC2014B
55,24287,CMA,67.0,7.0,CCC2014B
56,24288,CMA,137.0,8.0,CCC2014B
57,24289,CMA,207.0,8.0,CCC2014B
58,24282,TMA,32.0,9.0,CCC2014B
59,24283,TMA,102.0,22.0,CCC2014B
60,24284,TMA,151.0,22.0,CCC2014B
61,24285,TMA,200.0,22.0,CCC2014B
62,24290,Exam,,100.0,CCC2014B
63,40087,Exam,,100.0,CCC2014B
64,24295,CMA,18.0,2.0,CCC2014J
65,24296,CMA,67.0,7.0,CCC2014J
66,24297,CMA,144.0,8.0,CCC2014J
67,24298,CMA,214.0,8.0,CCC2014J
68,24291,TMA,32.0,9.0,CCC2014J
69,24292,TMA,109.0,22.0,CCC2014J
70,24293,TMA,158.0,22.0,CCC2014J
71,24294,TMA,207.0,22.0,CCC2014J
72,24299,Exam,,100.0,CCC2014J
73,40088,Exam,,100.0,CCC2014J
74,25341,CMA,23.0,2.0,DDD2013B
75,25342,CMA,51.0,3.0,DDD2013B
76,25343,CMA,79.0,3.0,DDD2013B
77,25344,CMA,114.0,4.0,DDD2013B
78,25345,CMA,149.0,4.0,DDD2013B
79,25346,CMA,170.0,3.0,DDD2013B
80,25347,CMA,206.0,6.0,DDD2013B
81,25334,TMA,25.0,7.5,DDD2013B
82,25335,TMA,53.0,10.0,DDD2013B
83,25336,TMA,81.0,12.5,DDD2013B
84,25337,TMA,116.0,15.0,DDD2013B
85,25338,TMA,151.0,15.0,DDD2013B
86,25339,TMA,200.0,15.0,DDD2013B
87,25340,Exam,240.0,100.0,DDD2013B
88,25348,TMA,25.0,10.0,DDD2013J
89,25349,TMA,53.0,12.5,DDD2013J
90,25350,TMA,88.0,17.5,DDD2013J
91,25351,TMA,123.0,20.0,DDD2013J
92,25352,TMA,165.0,20.0,DDD2013J
93,25353,TMA,207.0,20.0,DDD2013J
94,25354,Exam,261.0,100.0,DDD2013J
95,25355,TMA,25.0,10.0,DDD2014B
96,25356,TMA,53.0,12.5,DDD2014B
97,25357,TMA,74.0,17.5,DDD2014B
98,25358,TMA,116.0,20.0,DDD2014B
99,25359,TMA,158.0,20.0,DDD2014B
100,25360,TMA,200.0,20.0,DDD2014B
101,25361,Exam,241.0,100.0,DDD2014B
102,25362,TMA,20.0,5.0,DDD2014J
103,25363,TMA,41.0,10.0,DDD2014J
104,25364,TMA,62.0,10.0,DDD2014J
105,25365,TMA,111.0,25.0,DDD2014J
106,25366,TMA,146.0,25.0,DDD2014J
107,25367,TMA,195.0,25.0,DDD2014J
108,25368,Exam,,100.0,DDD2014J
109,30709,TMA,33.0,16.0,EEE2013J
110,30710,TMA,68.0,28.0,EEE2013J
111,30711,TMA,124.0,28.0,EEE2013J
112,30712,TMA,159.0,28.0,EEE2013J
113,30713,Exam,235.0,100.0,EEE2013J
114,30714,TMA,33.0,16.0,EEE2014B
115,30715,TMA,68.0,28.0,EEE2014B
116,30716,TMA,117.0,28.0,EEE2014B
117,30717,TMA,152.0,28.0,EEE2014B
118,30718,Exam,228.0,100.0,EEE2014B
119,30719,TMA,33.0,16.0,EEE2014J
120,30720,TMA,68.0,28.0,EEE2014J
121,30721,TMA,131.0,28.0,EEE2014J
122,30722,TMA,166.0,28.0,EEE2014J
123,30723,Exam,235.0,100.0,EEE2014J
124,34865,CMA,222.0,0.0,FFF2013B
125,34866,CMA,222.0,0.0,FFF2013B
126,34867,CMA,222.0,0.0,FFF2013B
127,34868,CMA,222.0,0.0,FFF2013B
128,34869,CMA,222.0,0.0,FFF2013B
129,34871,CMA,222.0,0.0,FFF2013B
130,34870,CMA,222.0,0.0,FFF2013B
131,34860,TMA,19.0,12.5,FFF2013B
132,34861,TMA,47.0,12.5,FFF2013B
133,34862,TMA,89.0,25.0,FFF2013B
134,34863,TMA,131.0,25.0,FFF2013B
135,34864,TMA,166.0,25.0,FFF2013B
136,34872,Exam,222.0,100.0,FFF2013B
137,34878,CMA,236.0,0.0,FFF2013J
138,34879,CMA,236.0,0.0,FFF2013J
139,34880,CMA,236.0,0.0,FFF2013J
140,34881,CMA,236.0,0.0,FFF2013J
141,34882,CMA,236.0,0.0,FFF2013J
142,34884,CMA,236.0,0.0,FFF2013J
143,34883,CMA,236.0,0.0,FFF2013J
144,34873,TMA,19.0,12.5,FFF2013J
145,34874,TMA,47.0,12.5,FFF2013J
146,34875,TMA,96.0,25.0,FFF2013J
147,34876,TMA,131.0,25.0,FFF2013J
148,34877,TMA,173.0,25.0,FFF2013J
149,34885,Exam,236.0,100.0,FFF2013J
150,34891,CMA,227.0,0.0,FFF2014B
151,34892,CMA,227.0,0.0,FFF2014B
152,34893,CMA,227.0,0.0,FFF2014B
153,34894,CMA,227.0,0.0,FFF2014B
154,34895,CMA,227.0,0.0,FFF2014B
155,34897,CMA,227.0,0.0,FFF2014B
156,34896,CMA,227.0,0.0,FFF2014B
157,34886,TMA,24.0,12.5,FFF2014B
158,34887,TMA,52.0,12.5,FFF2014B
159,34888,TMA,87.0,25.0,FFF2014B
160,34889,TMA,129.0,25.0,FFF2014B
161,34890,TMA,171.0,25.0,FFF2014B
162,34898,Exam,227.0,100.0,FFF2014B
163,34904,CMA,241.0,0.0,FFF2014J
164,34905,CMA,241.0,0.0,FFF2014J
165,34906,CMA,241.0,0.0,FFF2014J
166,34907,CMA,241.0,0.0,FFF2014J
167,34908,CMA,241.0,0.0,FFF2014J
168,34910,CMA,241.0,0.0,FFF2014J
169,34909,CMA,241.0,0.0,FFF2014J
170,34899,TMA,24.0,12.5,FFF2014J
171,34900,TMA,52.0,12.5,FFF2014J
172,34901,TMA,94.0,25.0,FFF2014J
173,34902,TMA,136.0,25.0,FFF2014J
174,34903,TMA,199.0,25.0,FFF2014J
175,34911,Exam,241.0,100.0,FFF2014J
176,37418,CMA,229.0,0.0,GGG2013J
177,37419,CMA,229.0,0.0,GGG2013J
178,37420,CMA,229.0,0.0,GGG2013J
179,37421,CMA,229.0,0.0,GGG2013J
180,37422,CMA,229.0,0.0,GGG2013J
181,37423,CMA,229.0,0.0,GGG2013J
182,37415,TMA,61.0,0.0,GGG2013J
183,37416,TMA,124.0,0.0,GGG2013J
184,37417,TMA,173.0,0.0,GGG2013J
185,37424,Exam,229.0,100.0,GGG2013J
186,37428,CMA,222.0,0.0,GGG2014B
187,37429,CMA,222.0,0.0,GGG2014B
188,37430,CMA,222.0,0.0,GGG2014B
189,37431,CMA,222.0,0.0,GGG2014B
190,37432,CMA,222.0,0.0,GGG2014B
191,37433,CMA,222.0,0.0,GGG2014B
192,37425,TMA,61.0,0.0,GGG2014B
193,37426,TMA,117.0,0.0,GGG2014B
194,37427,TMA,166.0,0.0,GGG2014B
195,37434,Exam,222.0,100.0,GGG2014B
196,37438,CMA,229.0,0.0,GGG2014J
197,37439,CMA,229.0,0.0,GGG2014J
198,37440,CMA,229.0,0.0,GGG2014J
199,37441,CMA,229.0,0.0,GGG2014J
200,37442,CMA,229.0,0.0,GGG2014J
201,37443,CMA,229.0,0.0,GGG2014J
202,37435,TMA,61.0,0.0,GGG2014J
203,37436,TMA,124.0,0.0,GGG2014J
204,37437,TMA,173.0,0.0,GGG2014J
205,37444,Exam,229.0,100.0,GGG2014J
